Date,Open,High,Low,Close,Adj Close,Volume,SMA7,SMA14,SMA21,EMA50,EMA200,RSI,EMA6,EMA13,MACD,Signal_Line,10_day_SMA,10_day_std,Upper_Band,Lower_Band,ROC7,ROC14,Stochastic14,ATR14,OBV,Williams_%R,CCI,RVI,Momentum
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800.0,,,,457.334015,457.334015,,457.334015,457.334015,0.0,0.0,,,,,,,,,0.0,,,,
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200.0,,,,456.0440537058824,457.0067113880597,,447.9357255714286,452.6348702857143,-4.699144714285751,-1.5663815714285836,,,,,,,,,-34483200.0,,,,
2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,37919700.0,,,,453.64216885467135,456.38769923494476,,432.75294397959186,444.37217310204085,-11.619229122448985,-4.917330755102051,,,,,,,,,-72402900.0,,,,
2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600.0,,,,451.88773054664506,455.9152245360896,,425.93895769970845,439.3052900874636,-13.366332387755165,-7.733664632653088,,,,,,,,,-35539300.0,,,,
2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100.0,,,,449.8066828389335,455.34712293871564,,418.19097378550606,433.52182207496884,-15.330848289462779,-10.266059184922986,,,,,,,,,-62119400.0,,,,
2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600.0,,,,447.9378720609361,454.8178183124598,,413.6084121325043,429.040420064259,-15.432007931754697,-11.988042100533557,,,,,,,,,-37991800.0,,,,
2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,45099500.0,417.4625722857143,,,447.46152354874255,454.6284965879577,41.29215507814712,419.946290094646,430.0047864836506,-10.058496389004631,-11.344860196690583,,,,,,,,,7107700.0,,,,
2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700.0,412.5869968571429,,,446.5102868213409,454.31582485076416,37.478800120694146,420.87734635331856,429.0333865574148,-8.156040204096257,-10.281920199159142,,,,,-7.462604328698359,,,,-23520000.0,,,,
2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,26814400.0,410.74899728571427,,,445.1402365538374,453.8905331109556,44.407155424248046,418.219248823799,426.53918919206984,-8.319940368270863,-9.627926922196384,,,,,-3.031287564643823,,,,-50334400.0,,,,
2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,21460800.0,412.12456842857137,,,443.5435601399614,453.3983386322396,55.20334789384816,414.27803144557066,423.38001759320275,-9.10198614763209,-9.452613330674954,416.1441986,19.332010210284185,454.80821902056834,377.4801781794316,2.4389806998799473,,,,-71795200.0,,,,
